Friday,ENGLISH TEACHER,11:30 - 12:15,JOHN PEEL STAGE
Friday,FOUR TET,23:00 - 00:15,THE PARK STAGE
Friday,KHRUANGBIN,21:15 - 22:15,THE PARK STAGE
Friday,SAINT ETIENNE,19:45 - 20:45,THE PARK STAGE
Friday,ARLO PARKS,18:15 - 19:15,THE PARK STAGE
Friday,DRY CLEANING,16:45 - 17:45,THE PARK STAGE
Friday,CONFIDENCE MAN,15:15 - 16:15,THE PARK STAGE
Friday,WET LEG,14:00 - 14:45,THE PARK STAGE
Friday,ORLANDO WEEKS,12:45 - 13:30,THE PARK STAGE
Friday,MATILDA MANN,11:30 - 12:10,THE PARK STAGE
Friday,PAUL HEATON & JACQUI ABBOTT,21:30 - 23:00,ACOUSTIC STAGE
Friday,THE UNDERTONES,20:00 - 21:00,ACOUSTIC STAGE
Friday,HOTHOUSE FLOWERS,18:30 - 19:30,ACOUSTIC STAGE
Friday,BRIAN KENNEDY,17:25 - 18:10,ACOUSTIC STAGE
Friday,MARY COUGHLAN,16:25 - 17:05,ACOUSTIC STAGE
Friday,THE MARIACHIS,15:30 - 16:10,ACOUSTIC STAGE
Friday,IRISH MYTHEN,14:30 - 15:10,ACOUSTIC STAGE
Friday,PAVEY ARK,13:40 - 14:20,ACOUSTIC STAGE
Friday,ROSEANNE REID,12:45 - 13:25,ACOUSTIC STAGE
Friday,NOVELTY ISLAND,12:00 - 12:30,ACOUSTIC STAGE
Saturday,PAUL MCCARTNEY,21:30 - 23:45,PYRAMID STAGE
Saturday,NOEL GALLAGHER'S HIGH FLYING BIRDS,19:15 - 20:30,PYRAMID STAGE
Saturday,HAIM,17:30 - 18:30,PYRAMID STAGE
Saturday,GRETA THUNBERG,17:15 - 17:25,PYRAMID STAGE
Saturday,AJ TRACEY,16:00 - 16:45,PYRAMID STAGE
Saturday,EASY LIFE,14:30 - 15:30,PYRAMID STAGE
Saturday,JOY CROOKES,13:15 - 14:00,PYRAMID STAGE
Saturday,LES AMAZONES D'AFRIQUE,12:00 - 12:45,PYRAMID STAGE
Saturday,MEGAN THEE STALLION,22:30 - 23:30,OTHER STAGE
Saturday,BURNA BOY,20:30 - 21:30,OTHER STAGE
Saturday,OLIVIA RODRIGO,18:45 - 19:45,OTHER STAGE
Saturday,GLASS ANIMALS,17:15 - 18:15,OTHER STAGE
Saturday,METRONOMY,15:45 - 16:45,OTHER STAGE
Saturday,SKUNK ANANSIE,14:15 - 15:15,OTHER STAGE
Saturday,TEMS,13:00 - 13:45,OTHER STAGE
Saturday,HAK BAKER,11:45 - 12:30,OTHER STAGE
Saturday,ROISIN MURPHY,22:15 - 23:45,WEST HOLTS STAGE
Saturday,CARIBOU,20:30 - 21:30,WEST HOLTS STAGE
Saturday,LEON BRIDGES,19:00 - 20:00,WEST HOLTS STAGE
Saturday,CELESTE,17:30 - 18:30,WEST HOLTS STAGE
Saturday,YVES TUMOR,16:00 - 17:00,WEST HOLTS STAGE
Saturday,BLACK MIDI,14:30 - 15:30,WEST HOLTS STAGE
Saturday,BRASS AGAINST,13:00 - 14:00,WEST HOLTS STAGE
Saturday,KIKAGAKU MOYO,11:30 - 12:30,WEST HOLTS STAGE
Saturday,JAMIE T,22:30 - 23:45,JOHN PEEL STAGE
Saturday,YUNGBLUD,21:00 - 22:00,JOHN PEEL STAGE
